Name,Lat,Lon
DY,39.4,102.816666667
DYG,29.1066666667,110.438333333
EGANA,23.96,113.818333333
EGEMU,17.0,111.283333333
ELAGO,30.8,122.183333333
ELANG,0.933333333333,114.830555556
ELATO,22.3333333333,117.5
ELKAL,26.095,108.395
ELNEX,29.6316666667,119.49
ELPUN,46.3083333333,121.071666667
ENH,30.2933333333,109.6
ENKUS,24.6483333333,109.853333333
ENVAR,21.9916666667,117.5
EPGAL,31.7466666667,118.098333333
EPGAM,37.2466666667,116.9
EPKAL,17.8583333333,112.955
ERE,43.64,111.955
EREMA,43.0333333333,113.191388889
ESBAG,31.62,119.676666667
ESPIT,2.00333333333,107.44
EXOL,8.18,110.623333333
EXOTO,15.3583333333,111.05
FATOL,0.483333333333,129.18
FB,42.5666666667,124.016666667
FC,37.0333333333,75.5
FD,36.935,120.623333333
FJ,41.5822222222,120.422222222
FJC,29.93,104.303333333
FK,28.625,121.446666667
FKG,44.17,87.9816666667
FL,38.2466666667,114.891666667
FLG,29.6983333333,107.376666667
FM,29.35,111.64
FO,23.1391666667,113.239166667
FOC,25.94,119.661666667
FORBI,39.9083333333,116.341666667
FORMY,0.671666666667,128.393333333
FQG,25.7416666667,119.385
FR,30.6083333333,103.475
FUGOU,34.0583333333,114.466666667
FW,24.3222222222,116.126388889
FX,40.8366666667,111.761944444
FY,35.7583333333,107.645
FYG,32.8816666667,115.728333333
FZ,37.45,121.176666667
GC,34.0583333333,114.466666667
GD,40.455,124.066666667
GF,34.5466666667,108.63
GHN,30.9527777778,104.325833333
GITUM,40.7447777778,116.984333333
GIVIL,19.25,109.833333333
GJ,28.075,112.242777778
GL,39.7633333333,113.186666667
GLN,22.71,114.035
GM,41.235,116.625
GMA,23.5294444444,99.4091666667
GO,36.9316666667,117.215277778
GOLAL,36.7583333333,117.06
GOLOT,40.2083333333,124.508333333
GOMAN,40.22,122.298333333
GONAV,37.21,124.415
GONTA,0.883333333333,123.4
GOPAD,36.38,110.488333333
GOPTO,49.0916666667,87.4666666667
GORAI,4.0,120.733333333
GOSMA,29.3516666667,113.235
GRUPA,20.8455555556,115.949722222
GS,31.65,119.04
