Name	Latitude			Longitude		
P101	N22	01	0.0	E111	18	42.0
P102	N20	30	0.0	E110	17	36.0
P104	N39	00	0.0	E107	26	0.0
P106	N35	38	16.0	E112	48	36.0
P108	N25	09	48.0	E106	43	6.0
P11	N32	09	48.0	E107	50	36.0
P110	N44	11	30.0	E116	33	54.0
P111	N42	02	42.0	E116	09	54.0
P114	N36	27	48.0	E115	24	24.0
P115	N32	35	24.0	E113	02	24.0
P116	N38	36	48.0	E120	14	6.0
P118	N25	42	24.0	E107	42	42.0
P12	N39	35	48.0	E108	13	24.0
P122	N37	17	6.0	E116	59	18.0
P124	N32	04	24.0	E108	25	0.0
P125	N22	19	12.0	E109	21	48.0
P126	N28	05	0.0	E113	23	18.0
P127	N29	18	30.0	E109	23	42.0
P13	N20	30	0.0	E109	43	0.0
P130	N38	42	0.0	E116	17	24.0
P131	N38	42	7.0	E116	45	42.0
P132	N27	20	24.0	E119	44	54.0
P133	N39	00	0.0	E118	30	0.0
P135	N39	32	30.0	E112	20	0.0
P136	N39	28	54.0	E112	09	54.0
P137	N26	59	30.0	E102	19	30.0
P138	N35	36	48.0	E113	23	48.0
P14	N37	01	6.0	E110	37	54.0
P140	N28	12	6.0	E107	25	36.0
P141	N26	25	42.0	E109	01	18.0
P147	N25	23	0.0	E115	35	36.0
P15	N20	53	0.0	E109	23	0.0
P153	N39	54	30.0	E113	22	42.0
P154	N23	19	12.0	E115	45	54.0
P155	N22	53	48.0	E115	53	18.0
P157	N26	30	0.0	E113	51	48.0
P158	N24	42	0.0	E109	46	36.0
P16	N35	50	0.0	E113	15	42.0
P161	N38	44	6.0	E113	53	18.0
P163	N24	40	24.0	E115	24	30.0
P164	N37	23	24.0	E116	56	12.0
P165	N29	29	18.0	E110	10	12.0
P166	N24	24	48.0	E111	17	0.0
P169	N25	20	30.0	E118	55	6.0
P17	N24	07	0.0	E117	32	0.0
P176	N26	24	12.0	E117	47	6.0
P177	N40	10	30.0	E121	29	6.0
P18	N37	12	24.0	E116	47	54.0
P180	N29	37	0.0	E120	14	0.0
P181	N34	42	36.0	E117	07	54.0
P182	N34	43	12.0	E117	12	0.0
P183	N34	49	0.0	E117	45	36.0
P189	N36	46	6.0	E116	54	24.0
P19	N20	57	18.0	E111	03	18.0
P198	N31	12	30.0	E119	24	36.0
P199	N29	59	0.0	E121	03	0.0
P20	N22	44	18.0	E109	19	30.0
P200	N29	38	30.0	E119	18	54.0
P201	N40	54	54.0	E093	50	48.0
P202	N40	45	54.0	E093	37	54.0
P204	N42	31	36.0	E091	41	0.0
P205	N42	19	54.0	E090	26	54.0
P206	N30	24	36.0	E117	11	54.0
P207	N42	52	54.0	E091	11	54.0
P209	N39	32	0.0	E108	19	54.0
P21	N25	15	0.0	E118	00	30.0
P210	N27	46	30.0	E100	20	48.0
P211	N28	09	36.0	E099	34	48.0
P212	N37	00	18.0	E119	52	42.0
P214	N28	05	0.0	E118	30	0.0
P215	N28	03	42.0	E117	33	6.0
P216	N27	49	30.0	E107	46	0.0
P217	N27	03	18.0	E108	27	36.0
P218	N36	46	0.0	E119	38	0.0
P219	N38	26	48.0	E106	08	0.0
P22	N28	27	0.0	E120	43	0.0
P220	N44	50	0.0	E086	48	0.0
P221	N45	07	30.0	E086	17	0.0
P222	N43	38	18.0	E085	50	30.0
P223	N33	56	30.0	E117	11	0.0
P224	N45	23	30.0	E125	47	54.0
P225	N34	01	24.0	E110	31	30.0
P226	N33	24	42.0	E115	50	30.0
P227	N33	50	0.0	E115	56	0.0
P228	N34	00	0.0	E117	10	54.0
P229	N27	38	42.0	E104	57	42.0
P23	N28	44	31.0	E120	43	37.0
P230	N29	54	42.0	E117	05	0.0
P231	N29	53	48.0	E117	11	18.0
P232	N31	00	18.0	E096	37	24.0
P233	N32	05	54.0	E108	15	48.0
P234	N31	54	0.0	E109	31	0.0
P235	N31	04	30.0	E109	53	0.0
P236	N29	10	0.0	E121	04	0.0
P237	N28	37	24.0	E121	06	48.0
P238	N41	34	30.0	E121	11	0.0
P239	N37	37	12.0	E101	00	0.0
P24	N34	08	18.0	E110	27	18.0
P240	N39	35	0.0	E096	15	48.0
P241	N38	58	36.0	E097	44	36.0
P242	N36	49	0.0	E102	54	42.0
P243	N28	51	18.0	E120	45	0.0
P244	N32	20	12.0	E104	19	18.0
P246	N26	35	0.0	E111	10	24.0
P247	N31	26	0.0	E104	22	0.0
P248	N31	24	0.0	E105	15	6.0
P249	N27	51	36.0	E118	39	42.0
P25	N28	59	0.0	E117	29	0.0
P250	N35	10	30.0	E119	27	12.0
P252	N34	47	18.0	E113	40	6.0
P253	N38	25	0.0	E118	55	0.0
P254	N38	31	0.0	E118	39	0.0
P255	N37	52	12.0	E118	44	36.0
P256	N37	37	24.0	E119	41	48.0
P257	N43	15	12.0	E081	52	0.0
P258	N42	04	54.0	E080	53	42.0
P259	N31	45	6.0	E107	04	0.0
P26	N38	52	42.0	E090	57	30.0
P260	N28	22	36.0	E115	31	14.0
P261	N27	45	0.0	E115	39	25.0
P262	N29	45	0.0	E117	11	3.0
P263	N28	55	21.0	E117	17	52.0
P264	N28	21	18.0	E115	21	42.0
P265	N43	25	0.0	E086	25	0.0
P266	N31	06	15.0	E107	35	36.0
P267	N27	16	36.0	E101	20	18.0
P27	N40	27	54.0	E097	24	6.0
P278	N44	25	0.0	E123	51	42.0
P279	N35	12	6.0	E112	34	12.0
P28	N36	51	6.0	E107	07	0.0
P285	N36	40	48.0	E115	05	48.0
P286	N37	43	0.0	E116	40	24.0
P289	N38	53	42.0	E116	47	30.0
P29	N34	03	36.0	E106	29	42.0
P290	N40	03	42.0	E119	01	42.0
P298	N38	54	12.0	E118	28	12.0
P30	N29	05	0.0	E119	37	0.0
P31	N29	20	0.0	E115	45	6.0
P32	N29	20	48.0	E111	34	42.0
P33	N29	21	6.0	E117	48	30.0
P34	N29	23	9.0	E116	38	51.0
P35	N35	36	42.0	E106	24	18.0
P36	N30	04	6.0	E115	54	48.0
P38	N31	24	18.0	E112	08	24.0
P39	N32	10	36.0	E115	34	0.0
P40	N32	10	30.0	E107	46	24.0
P41	N32	28	36.0	E119	35	0.0
P43	N32	56	48.0	E119	10	6.0
P44	N33	28	48.0	E118	42	24.0
P45	N33	57	0.0	E118	18	30.0
P46	N34	01	0.0	E118	03	54.0
P47	N27	17	42.0	E117	10	6.0
P48	N27	32	36.0	E117	41	54.0
P49	N29	12	36.0	E118	06	54.0
P51	N30	53	24.0	E115	54	0.0
P52	N34	26	18.0	E112	11	30.0
P53	N32	13	6.0	E109	46	42.0
P54	N28	21	18.0	E115	21	42.0
P55	N27	58	18.0	E115	44	24.0
P56	N29	06	0.0	E115	50	0.0
P58	N34	52	42.0	E117	45	42.0
P59	N26	22	36.0	E109	38	24.0
P60	N35	04	30.0	E117	42	0.0
P61	N29	30	30.0	E109	37	30.0
P62	N33	32	12.0	E110	51	54.0
P63	N33	56	12.0	E110	35	6.0
P64	N35	36	6.0	E117	02	18.0
P65	N36	19	0.0	E120	01	0.0
P66	N38	11	0.0	E115	11	42.0
P67	N38	52	12.0	E121	49	48.0
P68	N39	52	30.0	E124	08	30.0
P69	N42	11	6.0	E116	28	30.0
P72	N26	02	12.0	E105	12	36.0
P74	N35	05	12.0	E119	22	18.0
P75	N31	54	54.0	E118	03	30.0
P81	N28	13	36.0	E114	21	30.0
P84	N26	12	42.0	E117	59	24.0
P86	N37	05	0.0	E116	28	36.0
P89	N37	05	0.0	E116	28	36.0
P93	N24	08	48.0	E116	51	0.0
P96	N29	47	30.0	E115	33	6.0
P98	N38	15	0.0	E120	21	6.0
PA	N25	24	24.0	E110	03	30.0
PADNO	N35	50	48.0	E113	17	36.0
PAMDA	N38	48	12.0	E119	03	42.0
PAPA	N21	58	42.0	E113	39	24.0
PAPSA	N01	11	54.0	E110	08	30.0
PEK	N40	02	57.9	E116	44	2.1
PENDO	N04	00	0.0	E125	21	0.0
PERCH	N21	30	35.0	E113	55	22.0
PEXUN	N30	55	54.0	E100	00	0.0
PH	N23	21	54.0	E113	22	12.0
PIKAS	N32	10	0.0	E120	44	0.0
PILAX	N02	18	54.0	E111	23	24.0
PIMOL	N32	14	48.0	E119	46	42.0
PINGT	N40	18	30.0	E116	45	30.0
PINOT	N31	27	0.0	E122	27	0.0
PIX	N34	18	50.0	E117	58	45.0
PK	N31	17	6.0	E121	19	54.0
PLOVE	N22	25	6.0	E114	13	57.0
PM	N38	04	30.0	E116	33	0.0
PN	N01	33	18.0	E124	55	42.0
POKOR	N42	02	42.0	E116	09	54.0
POLHO	N44	47	0.0	E113	15	0.0
POLHO	0.0	10.0	1	0	0	
POMOK	N31	27	0.0	E121	07	0.0
POTID	N33	21	30.0	E121	32	42.0
POU	N23	01	18.0	E113	11	30.0
POXEL	N04	38	54.0	E130	55	42.0
PQ	N23	21	42.0	E116	42	0.0
PRAWN	N22	16	5.0	E113	48	40.0
PS	N29	07	51.0	E110	34	16.0
PSH	N40	32	0.0	E111	57	0.0
PSN	N34	18	48.0	E117	58	42.0
PT	N37	11	45.0	E104	04	30.0
PU	N41	30	30.0	E123	17	30.0
PUD	N31	10	14.0	E121	46	54.0
PURPA	N36	56	30.0	E075	24	30.0
PUSIT	N11	00	0.0	E121	17	54.0
PV	N25	34	18.0	E116	41	54.0
QC	N37	15	4.0	E122	15	10.0
QD	N50	06	6.0	E127	20	12.0
QI	N35	31	23.0	E105	43	11.0
QIM	N38	09	0.0	E085	32	6.0
QIY	N35	47	54.0	E107	35	54.0
QJ	N26	27	12.0	E106	31	30.0
QJG	N29	02	54.0	E106	39	18.0
QM	N23	06	19.0	E113	08	41.0
QM1	N44	36	5.0	E129	37	16.0
QNX	N27	02	36.0	E106	01	42.0
QP	N24	39	30.0	E110	47	30.0
QU	N39	59	33.0	E116	36	35.0
QV	N46	09	11.0	E122	03	26.0
QX	N23	15	18.0	E113	18	18.0
QY	N26	51	30.0	E112	37	6.0
RA	N33	52	42.0	E109	55	42.0
RC	N38	27	0.0	E106	08	48.0
RENOB	N39	45	1.1	E115	26	50.4
RENQU	N38	42	0.0	E116	05	0.0
REPOL	N37	37	24.0	E119	41	48.0
REVKI	N42	32	30.0	E080	13	12.0
RG	N31	09	0.0	E097	10	30.0
RIVER	N22	24	8.0	E114	10	54.0
RL	N30	37	54.0	E114	16	48.0
RM	N43	55	48.0	E087	35	12.0
RO	N25	46	12.0	E109	36	18.0
ROMEO	N21	51	48.0	E113	26	54.0
ROX	N11	35	48.0	E122	45	12.0
RP	N28	37	12.0	E115	42	24.0
RPITO	N29	35	0.0	E124	00	0.0
RQ	N33	19	24.0	E108	18	42.0
RS	N43	57	12.0	E126	18	42.0
RULOP	N41	14	30.0	E118	37	36.0
RUMBO	N00	07	18.0	E125	46	54.0
RUPOX	N27	07	0.0	E120	11	42.0
RW	N22	19	36.0	E114	11	30.0
RZ	N36	18	17.0	E113	08	6.0
SABED	N28	20	30.0	E105	52	12.0
SABEM	N41	00	0.0	E117	10	0.0
SABGU	N25	29	36.0	E134	59	30.0
SABIP	N02	09	42.0	E107	50	42.0
SADAN	N40	04	36.0	E086	00	0.0
SADEK	N23	00	16.0	E123	57	54.0
SADLI	N31	49	48.0	E125	00	0.0
SAGAG	N21	11	30.0	E101	37	24.0
SAGUT	N35	00	0.0	E120	43	12.0
SAJ	N12	21	42.0	E121	02	32.0
SAKOD	N22	52	48.0	E113	57	36.0
SAKOT	N32	31	0.0	E121	56	54.0
SALIS	N41	57	30.0	E115	57	6.0
SAMAS	N20	30	18.0	E110	29	42.0
SAMGE	N02	00	0.0	E129	39	0.0
SAMMI	N22	28	0.0	E115	57	42.0
SAMON	N19	44	36.0	E113	39	38.0
SAN	N16	43	48.0	E120	21	24.0
SANKO	N38	15	0.0	E122	27	12.0
SANLI	N32	00	0.0	E100	00	0.0
SAPOM	N31	58	6.0	E121	24	6.0
SARIN	N46	51	54.0	E082	53	18.0
SB	N31	50	12.0	E117	13	54.0
SC	N38	26	0.0	E077	16	0.0
SCANG	N39	54	0.0	E117	23	36.0
SCH	N38	25	36.0	E077	14	30.0
SCK	N10	29	54.0	E123	24	6.0
SEL	N37	24	42.0	E126	55	54.0
SELGO	N40	28	42.0	E113	05	12.0
SELSO	N04	00	0.0	E126	15	54.0
SESAN	N22	30	50.0	E114	50	25.0
SEY	N41	38	30.0	E123	28	42.0
SG	N35	22	54.0	E109	06	48.0
SHA	N31	11	52.0	E121	19	58.0
SHANP	N30	38	36.0	E104	07	48.0
SHENZ	N38	11	0.0	E115	11	42.0
SHK	N22	29	54.0	E113	54	6.0
SHL	N23	05	30.0	E113	51	6.0
SHR	N28	25	6.0	E117	58	6.0
SHREE	N05	39	0.0	E131	09	24.0
SHX	N33	52	30.0	E109	56	6.0
SHY	N30	57	6.0	E121	51	48.0
SIA	N34	26	56.0	E108	45	3.0
SIERA	N21	59	6.0	E113	33	12.0
SIKOU	N20	50	36.0	E111	30	0.0
SIMLI	N50	17	24.0	E127	22	6.0
SJ	N35	04	30.0	E117	42	0.0
SJW	N38	16	54.0	E114	42	0.0
SK	N29	21	6.0	E117	48	30.0
SL	N25	26	48.0	E103	17	24.0
SMT	N22	20	15.0	E113	58	55.0
SN	N05	54	30.0	E118	04	17.0
SNAPA	N21	50	56.0	E115	51	24.0
SOKOE	N22	04	41.0	E113	50	38.0
SOSDI	N40	06	48.1	E115	29	31.4
SOSOK	N00	55	12.0	E126	28	36.0
SP	N50	22	11.0	E124	06	36.0
SQ	N36	14	21.0	E113	06	57.0
SQ1	N28	50	24.0	E118	41	18.0
SU	N33	57	0.0	E118	18	30.0
SUBUL	N32	19	42.0	E106	42	36.0
SUKAR	N12	22	0.0	E110	53	54.0
SUPAR	N30	02	6.0	E120	52	36.0
SURAH	N06	19	30.0	E124	45	30.0
SV	N28	13	6.0	E113	20	48.0
SWA	N23	26	21.0	E116	46	4.0
SX	N30	53	12.0	E120	25	0.0
SYX	N18	18	30.0	E109	10	18.0
SZ	N40	31	12.0	E112	29	48.0
SZ1	N28	05	0.0	E119	34	0.0
SZTZH	N40	26	47.6	E113	04	16.2
SZX	N22	38	48.0	E113	48	6.0
SZY	N40	05	59.3	E116	27	37.7
TA	N48	46	18.0	E002	05	51.0
TAAL	N14	03	24.0	E121	01	30.0
TAC	N11	14	3.0	E125	01	35.0
TAIZH	N30	00	12.0	E093	04	30.0
TAJ	N39	06	42.0	E117	21	24.0
TAJI	N32	57	0.0	E119	09	7.0
TAMOT	N22	21	30.0	E113	52	0.0
TAO	N36	17	15.0	E120	22	6.0
TAPER	N12	18	59.0	E121	51	10.0
TAVIT	N44	48	30.0	E125	46	42.0
TAXON	N30	00	14.0	E137	14	20.0
TBOLI	N06	08	36.0	E124	51	6.0
TD	N22	14	52.0	E114	17	35.0
TDHET	N42	35	0.0	E100	25	0.0
TDTYN	N42	35	0.0	E100	25	0.0
TEBAK	N22	10	30.0	E106	40	30.0
TEBUS	N47	25	6.0	E090	27	42.0
TELOK	N49	38	0.0	E117	22	0.0
TEMOL	N35	23	12.0	E094	17	30.0
TEMON	N02	00	0.0	E127	32	54.0
TEMP	N39	50	0.0	E115	51	57.0
TEPOD	N47	48	0.0	E122	46	18.0
TERIX	N04	15	24.0	E109	34	54.0
TESAN	N47	01	42.0	E089	47	48.0
TF	N27	27	0.0	E109	42	0.0
TGINA	N36	45	30.0	E117	03	36.0
TGO	N43	33	30.0	E122	11	48.0
THETE	N42	35	0.0	E100	25	0.0
THETW	N42	35	0.0	E100	25	0.0
TILLY	N17	11	39.0	E133	57	22.0
TJHCH	N39	01	48.0	E117	31	54.0
TJLUX	N39	09	18.0	E117	27	18.0
TMA	N04	19	24.0	E115	30	48.0
TMONG	N42	35	0.0	E100	25	0.0
TMR	N41	50	42.0	E113	09	6.0
TMR	37.5	0.0	0	2	0	
TMRPO	N43	02	0.0	E113	12	0.0
TMS	N31	04	24.0	E121	09	0.0
TNA	N36	51	36.0	E117	13	0.0
TODAM	N39	29	30.0	E112	12	0.0
TOGUG	N29	12	0.0	E122	32	0.0
TOL	N29	45	54.0	E119	39	36.0
TOMUK	N38	43	0.0	E124	00	0.0
TONAD	N26	27	42.0	E105	01	36.0
TONAX	N37	45	30.0	E090	11	18.0
TONIL	N39	54	0.0	E117	23	36.0
TOREG	N31	21	30.0	E106	03	48.0
TOS	N34	05	42.0	E117	11	48.0
TOSEN	N01	52	18.0	E107	05	48.0
TOSTY	N01	06	30.0	E123	19	12.0
TQ	N50	42	0.0	E121	23	30.0
TRK	N03	19	30.0	E117	34	12.0
TRN	N27	52	12.0	E109	17	36.0
TROUT	N20	58	53.0	E113	50	37.0
TSN	N10	48	59.0	E106	38	44.0
TWU	N04	19	30.0	E118	08	23.0
TX	N39	44	30.0	E118	47	0.0
TXI	N39	44	30.0	E118	47	0.0
TXN	N29	44	12.0	E118	15	12.0
TY	N43	52	0.0	E125	16	0.0
TYN	N37	45	7.0	E112	37	6.0
TZH	N40	24	33.0	E114	03	7.0
TZS	N30	38	36.0	E104	07	48.0
UC	N49	11	59.0	E119	57	49.0
UDA	N47	52	6.0	E106	44	0.0
UDEGO	N03	55	48.0	E114	29	42.0
UDINO	N34	49	18.0	E117	47	42.0
UF	N22	43	6.0	E100	58	12.0
UG	N47	42	4.0	E128	49	35.0
UJ	N21	53	6.0	E113	15	30.0
UK	N30	17	18.0	E112	16	18.0
UKAXU	N43	27	12.0	E128	35	6.0
UKIBA	N05	18	48.0	E115	02	12.0
UL	N39	15	48.0	E121	36	20.0
UNDUR	N49	19	48.0	E110	21	48.0
UNKN	N39	02	42.0	E116	11	48.0
UNTAN	N32	12	30.0	E120	17	30.0
URC	N43	54	30.0	E087	28	24.0
UW	N30	59	0.0	E101	07	0.0
UY	N22	35	0.0	E108	08	0.0
UYN	N38	16	6.0	E109	43	6.0
VB	N24	12	20.0	E113	24	37.0
VERDE	N13	30	18.0	E121	01	36.0
VIDIP	N05	41	6.0	E115	10	6.0
VIKAP	N21	31	18.0	E113	32	0.0
VIMAG	N05	01	30.0	E118	20	24.0
VISIN	N35	25	30.0	E106	23	24.0
VJN	N05	54	0.0	E116	02	0.0
VKG	N01	28	24.0	E110	18	30.0
VL	N30	45	48.0	E111	50	24.0
VM	N39	17	30.0	E116	54	6.0
VMB	N31	35	24.0	E120	19	42.0
VMI	N04	20	18.0	E113	59	30.0
VQ	N25	33	36.0	E110	28	36.0
VSB	N02	14	54.0	E111	59	48.0
VSN	N05	54	30.0	E118	04	18.0
VTV	N10	22	15.0	E107	06	9.0
VTW	N04	19	30.0	E118	08	24.0
VW	N29	55	42.0	E104	18	6.0
VX	N49	14	7.0	E125	20	27.0
VYK	N39	11	35.8	E116	34	24.7
VZ	N47	43	36.0	E088	09	48.0
WA	N24	21	0.0	E114	06	42.0
WB	N31	07	18.0	E121	20	24.0
WC	N33	04	18.0	E107	00	30.0
WD	N37	39	25.0	E112	46	47.0
WEH	N37	11	6.0	E122	13	30.0
WF	N39	56	42.0	E116	52	18.0
WFG	N36	38	42.0	E119	07	18.0
WFX	N30	36	18.0	E104	29	24.0
WG	N41	10	12.0	E121	05	44.0
WHA	N30	47	0.0	E114	12	12.0
WHALE	N21	40	43.0	E116	39	42.0
WJ	N34	01	0.0	E118	03	54.0
WL	N18	29	24.0	E109	24	12.0
WP	N45	33	42.0	E084	54	42.0
WQ	N28	28	10.0	E115	55	46.0
WQG	N43	17	42.0	E129	47	6.0
WRNNR	N11	09	48.0	E132	28	0.0
WS	N29	46	54.0	E118	11	6.0
WUH	N39	47	42.0	E106	47	48.0
WX	N29	31	0.0	E106	39	42.0
WXI	N36	21	48.0	E114	55	0.0
WXI	0.0	10.0	1	0	0	
WY	N30	07	21.0	E120	12	6.0
WYN	N24	20	55.0	E114	06	47.0
WYS	N27	40	42.0	E117	59	18.0
WZH	N30	48	24.0	E108	25	42.0
XEBUL	N24	17	0.0	E114	51	0.0
XF	N41	16	0.0	E080	13	42.0
XIC	N27	59	54.0	E102	10	48.0
XJC	N31	21	6.0	E121	06	36.0
XJD	N35	57	7.0	E120	13	29.0
XJT	N35	57	47.0	E120	14	19.0
XJTCU	N40	02	0.0	E116	16	22.0
XK	N23	01	15.0	E113	11	28.0
XL	N28	22	32.0	E115	54	59.0
XM	N37	08	25.0	E122	12	30.0
XMN	N24	32	30.0	E118	07	18.0
XNN	N36	31	42.0	E102	01	54.0
XQ	N31	07	34.0	E121	27	38.0
XSH	N30	26	12.0	E115	16	6.0
XUZ	N34	03	39.0	E117	32	53.0
XYO	N28	10	18.0	E105	25	18.0
XZ	N30	30	4.0	E109	36	44.0
YAV	N36	41	6.0	E109	38	6.0
YBL	N39	25	36.0	E102	46	24.0
YBN	N28	48	0.0	E104	33	18.0
YCE	N35	07	12.0	E111	02	0.0
YCH	N33	25	23.0	E120	12	11.0
YEU	N29	20	22.0	E120	01	55.0
YF	N37	52	32.0	E112	39	8.0
YGT	N29	23	18.0	E116	34	42.0
YI	N21	35	29.0	E109	26	13.0
YIH	N30	33	42.0	E111	28	36.0
YIJ	N35	22	54.0	E109	06	30.0
YIN	N24	12	30.0	E113	24	42.0
YJ	N23	51	48.0	E100	05	0.0
YJI	N67	33	43.0	W064	01	3.0
YK	N39	11	22.0	E116	34	24.0
YLX	N38	02	42.0	E109	34	48.0
YNC	N38	19	18.0	E106	23	42.0
YNJ	N42	52	57.0	E129	27	1.0
YNT	N37	23	12.0	E121	21	24.0
YOSHI	N33	10	15.0	E138	57	27.0
YQ	N30	22	8.0	E112	17	20.0
YQG	N36	49	54.0	E117	12	54.0
YR	N43	59	6.0	E116	00	54.0
YS	N36	25	36.0	E119	41	54.0
YT	N28	27	0.0	E120	43	0.0
YU	N36	38	18.0	E109	36	18.0
YV	N40	43	56.7	E116	38	4.4
YV2N	N40	44	6.0	E116	38	10.0
YVL	N40	44	0.0	E116	30	13.0
YVR	N40	44	0.0	E116	45	25.0
YW	N25	07	54.0	E110	19	18.0
YZ	N30	41	30.0	E106	06	6.0
ZAM	N06	55	6.0	E122	03	18.0
ZAO	N22	14	48.0	E113	36	42.0
ZAT	N27	19	18.0	E103	45	12.0
ZBPM	N38	04	30.0	E116	33	0.0
ZBTX	N39	44	30.0	E118	47	0.0
ZBUM	N39	17	30.0	E116	54	6.0
ZBVM	N39	17	30.0	E116	54	6.0
ZBWF	N39	56	42.0	E116	52	18.0
ZBYK	N39	11	0.0	E116	35	0.0
ZENGJ	N31	24	18.0	E112	08	24.0
ZF	N31	19	24.0	E114	26	6.0
ZGC	N36	30	48.0	E103	37	24.0
ZHO	N33	39	36.0	E114	38	24.0
ZHOE	N33	39	36.0	E114	38	24.0
ZHOW	N33	39	36.0	E114	38	24.0
ZK	N28	01	6.0	E112	57	48.0
ZN	N40	26	24.0	E114	05	0.0
ZP	N24	07	0.0	E117	32	0.0
ZQ	N40	33	49.0	E110	00	47.0
ZS	N31	56	36.0	E119	42	36.0
ZSPX	N34	18	24.0	E117	57	42.0
ZUH	N22	13	24.0	E113	27	54.0
ZW	N30	29	54.0	E103	54	36.0
ZX	N29	17	24.0	E120	00	30.0
ZYBK	N39	11	0.0	E116	35	0.0
ZYCY	N41	35	0.0	E120	25	18.0
ZYG	N30	07	0.0	E104	40	30.0
