Name	Latitude			Longitude		
DABMA	N41	25	18.0	E118	32	42.0
DABOX	N38	36	0.0	E122	00	0.0
DACHG	N38	41	30.0	E116	37	12.0
DADAT	N30	27	0.0	E121	14	48.0
DAGMO	N27	26	12.0	E119	33	24.0
DAGON	N19	05	18.0	E111	51	54.0
DAL	N25	38	42.0	E110	19	30.0
DALBA	N14	34	0.0	E111	55	30.0
DALIM	N36	24	36.0	E117	12	42.0
DALUD	N39	50	51.0	E116	34	5.0
DALUE	N39	51	37.5	E116	34	48.2
DAO	N07	07	53.0	E125	39	13.0
DAPRO	N29	15	12.0	E113	38	48.0
DARAN	N38	11	54.0	E107	45	0.0
DARMU	N04	01	42.0	E112	40	36.0
DAX	N31	09	24.0	E107	26	24.0
DCH	N30	33	24.0	E097	06	36.0
DDG	N40	15	30.0	E124	17	24.0
DF	N39	57	6.0	E124	13	30.0
DHN	N41	38	36.0	E122	06	54.0
DIAMO	N08	47	6.0	E124	24	48.0
DINAR	N46	04	0.0	E121	56	0.0
DINGL	N40	17	0.0	E116	13	30.0
DJ	N30	23	49.0	E109	31	2.0
DK	N40	02	12.0	E116	34	48.0
DKO	N40	18	42.0	E107	00	12.0
DL	N42	11	6.0	E116	28	30.0
DLC	N38	57	48.0	E121	31	30.0
DM	N39	44	44.0	E116	23	9.0
DN	N44	54	12.0	E110	07	36.0
DNB	N40	04	0.0	E116	34	30.0
DNH	N40	09	48.0	E094	50	12.0
DO	N33	37	0.0	E114	38	30.0
DOGAR	N39	09	46.0	E116	46	57.5
DOGOG	N05	25	18.0	E114	07	42.0
DONEN	N25	02	42.0	E100	17	0.0
DONGY	N37	26	18.0	E118	47	18.0
DONLA	N27	42	0.0	E104	23	54.0
DONVO	N37	34	0.0	E123	20	0.0
DOPNO	N35	00	0.0	E123	27	0.0
DORUT	N48	12	0.0	E114	51	42.0
DOSUT	N17	02	0.0	E113	40	48.0
DOTAD	N13	59	42.0	E110	00	0.0
DOTIR	N01	21	6.0	E130	09	48.0
DOTMI	N22	44	0.0	E116	11	12.0
DOTOS	N40	31	42.0	E111	56	48.0
DOVAR	N18	56	0.0	E115	49	0.0
